;fecha;último;apertura;máximo;mínimo;volumen;%var;;
;;;;;;;;;
1556;24.09.2012;8138,4;8165,9;8182,1;8082,9;107.28M;-1,12%;;16276,8
1555;25.09.2012;8175;8125,6;8197,9;8117,5;125.01M;0,45%;;16350
1554;26.09.2012;7854,4;8080,6;8082,5;7840,4;252.68M;-3,92%;;
1553;27.09.2012;7842,3;7896;7914,8;7790,6;145.56M;-0,15%;;
1552;28.09.2012;7708,5;7908,7;7939,2;7678,7;175.96M;-1,71%;;
1551;01.10.2012;7784,1;7712,8;7838,5;7703;156.30M;0,98%;;
1550;02.10.2012;7867,1;7728;7913,7;7710,2;141.83M;1,07%;;
1549;03.10.2012;7826,7;7840,7;7900,8;7802,3;186.84M;-0,51%;;
1548;04.10.2012;7812,8;7866,1;7913,3;7784,4;125.26M;-0,18%;;
1547;05.10.2012;7954,4;7848,4;7972,8;7825,5;142.99M;1,81%;;
1546;08.10.2012;7891;7910,5;7913,1;7855,2;112.26M;-0,80%;;
1545;09.10.2012;7745,4;7893,7;7901,5;7734,9;182.72M;-1,85%;;
1544;10.10.2012;7668;7705,7;7765,1;7664,5;164.97M;-1,00%;;
1543;11.10.2012;7734,7;7615,4;7777,7;7565,5;148.86M;0,87%;;
1542;12.10.2012;7652,4;7724;7791,5;7652,4;112.35M;-1,06%;;
1541;15.10.2012;7678,5;7653,9;7723,4;7624,7;111.71M;0,34%;;
1540;16.10.2012;7940,2;7747;7941,8;7741,6;218.38M;3,41%;;
1539;17.10.2012;8128,2;8005,8;8131,9;7987;279.96M;2,37%;;
1538;18.10.2012;8100,3;8143,8;8156,6;8035,5;189.46M;-0,34%;;
1537;19.10.2012;7913,4;8053,8;8070,6;7880,9;197.26M;-2,31%;;
1536;22.10.2012;7877,1;7911,2;7955,7;7841,5;139.77M;-0,46%;;
1535;23.10.2012;7747,7;7863,9;7886,6;7699,8;153.87M;-1,64%;;
1534;24.10.2012;7791,5;7773,1;7819,7;7653,2;141.52M;0,57%;;
1533;25.10.2012;7779,2;7780,6;7851,3;7766,3;127.76M;-0,16%;;
1532;26.10.2012;7775,6;7708,4;7803,7;7665,6;162.98M;-0,05%;;
1531;29.10.2012;7728,6;7749,4;7779,7;7684,5;122.89M;-0,60%;;
1530;30.10.2012;7833,9;7763,6;7844;7755,9;93.86M;1,36%;;
1529;31.10.2012;7842,9;7831,4;7939,9;7830,9;164.28M;0,11%;;
1528;01.11.2012;7886,4;7807,1;7928,8;7790,3;90.29M;0,55%;;
1527;02.11.2012;7968,9;7905,4;7995,9;7834,6;119.30M;1,05%;;
1526;05.11.2012;7818,6;7891,6;7894,7;7793,3;108.85M;-1,89%;;
1525;06.11.2012;7837,6;7812,3;7868,3;7800,9;112.43M;0,24%;;
1524;07.11.2012;7660,7;7899,7;7918,6;7638,5;190.26M;-2,26%;;
1523;08.11.2012;7624,1;7696,4;7718;7606,4;134.22M;-0,48%;;
1522;09.11.2012;7636,6;7613,3;7674;7496;158.79M;0,16%;;
1521;12.11.2012;7567,8;7632,1;7633,3;7548,1;112.77M;-0,90%;;
1520;13.11.2012;7693,4;7521,9;7715,5;7490,6;179.05M;1,66%;;
1519;14.11.2012;7673;7695,6;7756,5;7642,8;215.13M;-0,27%;;
1518;15.11.2012;7695,5;7615,4;7744,3;7610,4;135.77M;0,29%;;
1517;16.11.2012;7588,2;7694;7725;7588,2;207.28M;-1,39%;;
1516;19.11.2012;7763,8;7661,8;7775,1;7601,7;180.51M;2,31%;;
1515;20.11.2012;7778,7;7722,4;7787,2;7695,5;122.78M;0,19%;;
1514;21.11.2012;7805,4;7751,8;7825,4;7716,8;129.04M;0,34%;;
1513;22.11.2012;7875,6;7828,5;7894,4;7809;137.98M;0,90%;;
1512;23.11.2012;7909,6;7887,2;7915,6;7825,1;142.36M;0,43%;;
1511;26.11.2012;7874,8;7882,8;7893;7842,6;126.45M;-0,44%;;
1510;27.11.2012;7863,7;7936,6;7955,2;7819,7;251.03M;-0,14%;;
1509;28.11.2012;7837,6;7839,4;7854,9;7753,7;242.36M;-0,33%;;
1508;29.11.2012;7973,7;7887,4;7975,5;7883,8;250.04M;1,74%;;
1507;30.11.2012;7934,6;7967,9;7989,6;7922,7;301.08M;-0,49%;;
1506;03.12.2012;7889,2;7963,4;8027,8;7874,1;216.20M;-0,57%;;
1505;04.12.2012;7902,4;7871,9;7945,7;7870,9;135.64M;0,17%;;
1504;05.12.2012;7883,2;7948,5;7976,7;7844,7;210.38M;-0,24%;;
1503;06.12.2012;7910,8;7905,8;7947,8;7841,8;241.41M;0,35%;;
1502;07.12.2012;7848,5;7915,7;7942,6;7813,1;325.54M;-0,79%;;
1501;10.12.2012;7804,4;7796,1;7804,4;7670,8;251.31M;-0,56%;;
1500;11.12.2012;7920,9;7813,6;7927;7806,2;251.45M;1,49%;;
1499;12.12.2012;7986,8;7935,1;7988,3;7927,3;229.13M;0,83%;;
1498;13.12.2012;8017,1;8005,9;8037;7977,3;198.05M;0,38%;;
1497;14.12.2012;8024,1;8025,9;8045,3;8003,6;176.92M;0,09%;;
1496;17.12.2012;8040,3;8017,8;8049,3;7975;183.12M;0,20%;;
1495;18.12.2012;8168,8;8068,6;8171,6;8062,9;295.58M;1,60%;;
1494;19.12.2012;8264,2;8192,3;8322;8185,4;436.32M;1,17%;;
1493;20.12.2012;8264,2;8226,7;8297,9;8216,8;437.33M;0,00%;;
1492;21.12.2012;8291;8223,5;8291;8203,8;620.09M;0,32%;;
1491;24.12.2012;8299,5;8261,6;8304,3;8256;82.70M;0,10%;;
1490;27.12.2012;8280,9;8236,5;8345,4;8231,2;203.33M;-0,22%;;
1489;28.12.2012;8131;8276,6;8308,7;8103,9;253.63M;-1,81%;;
1488;31.12.2012;8167,5;8111,9;8167,5;8041,7;105.48M;0,45%;;
1487;02.01.2013;8447,6;8337,9;8447,6;8286,7;280.53M;3,43%;;
1486;03.01.2013;8403,4;8375;8422,6;8334,3;182.28M;-0,52%;;
1485;04.01.2013;8435,8;8411,7;8447;8386,7;230.12M;0,39%;;
1484;07.01.2013;8419;8434,3;8485,6;8406,3;289.12M;-0,20%;;
1483;08.01.2013;8453;8388,2;8493,5;8374,7;335.52M;0,40%;;
1482;09.01.2013;8606,4;8491,8;8614,2;8485,4;445.02M;1,81%;;
1481;10.01.2013;8618,9;8607,3;8649,3;8548,4;493.39M;0,15%;;
1480;11.01.2013;8664,7;8638;8677,4;8580;252.44M;0,53%;;
1479;14.01.2013;8632,1;8699,2;8721,1;8601,3;250.46M;-0,38%;;
1478;15.01.2013;8601;8549,6;8607,5;8520,6;271.88M;-0,36%;;
1477;16.01.2013;8581,1;8588,9;8604;8525,5;291.65M;-0,23%;;
1476;17.01.2013;8628,9;8568,4;8664,9;8565,9;234.68M;0,56%;;
1475;18.01.2013;8604;8662,3;8679,8;8600,7;305.70M;-0,29%;;
1474;21.01.2013;8665,9;8628,3;8665,9;8608,9;194.48M;0,72%;;
1473;22.01.2013;8632,1;8655;8675,4;8588,5;223.75M;-0,39%;;
1472;23.01.2013;8613,3;8637,9;8650,4;8585,5;229.70M;-0,22%;;
1471;24.01.2013;8665,6;8597,2;8673;8576,4;199.09M;0,61%;;
1470;25.01.2013;8724,6;8642,6;8734,1;8616,3;180.05M;0,68%;;
1469;28.01.2013;8672,5;8755,9;8755,9;8672,5;170.36M;-0,60%;;
1468;29.01.2013;8643;8674,4;8690,9;8606,8;179.38M;-0,34%;;
1467;30.01.2013;8571,9;8647,1;8689,2;8556,1;187.32M;-0,82%;;
1466;31.01.2013;8362,3;8542,5;8543,7;8362,3;306.58M;-2,45%;;
1465;01.02.2013;8229,7;8233,4;8301,3;8159,5;598.10M;-1,59%;;
1464;04.02.2013;7919,6;8225;8227,7;7916,8;395.05M;-3,77%;;
1463;05.02.2013;8093,6;7901,5;8126,8;7895,5;340.04M;2,20%;;
1462;06.02.2013;8056,2;8115,4;8161;8013;323.69M;-0,46%;;
1461;07.02.2013;8014,6;8081,5;8160,1;8005,6;267.89M;-0,52%;;
1460;08.02.2013;8174,9;8025,4;8183,3;8008,7;231.59M;2,00%;;
1459;11.02.2013;8078,6;8181,5;8181,5;8056;176.15M;-1,18%;;
1458;12.02.2013;8234,7;8069;8240,8;8045,1;243.71M;1,93%;;
1457;13.02.2013;8306,2;8257,7;8343,4;8211,9;267.53M;0,87%;;
1456;14.02.2013;8247,4;8272;8328,7;8155,5;264.98M;-0,71%;;
1455;15.02.2013;8150,2;8237,3;8251,2;8150,2;242.67M;-1,18%;;
1454;18.02.2013;8108,9;8110,9;8145,4;8037,3;159.63M;-0,51%;;
1453;19.02.2013;8225,3;8090;8230,8;8087;256.62M;1,44%;;
1452;20.02.2013;8163;8235,1;8274,4;8146,9;174.83M;-0,76%;;
1451;21.02.2013;8014,5;8117,5;8117,6;7982;273.81M;-1,82%;;
1450;22.02.2013;8179;8059,3;8179;8051,1;218.06M;2,05%;;
1449;25.02.2013;8244,5;8232,7;8400,1;8135,2;329.55M;0,80%;;
1448;26.02.2013;7980,7;7943,2;8099,8;7911,1;407.97M;-3,20%;;
1447;27.02.2013;8136,7;8015,9;8136,7;7966,4;290.26M;1,95%;;
1446;28.02.2013;8230,3;8185,8;8252,3;8142,8;351.22M;1,15%;;
1445;01.03.2013;8187,1;8220,5;8285,8;8105,2;335.83M;-0,52%;;
1444;04.03.2013;8246,3;8135,1;8271,7;8129,2;232.94M;0,72%;;
1443;05.03.2013;8423,3;8325,4;8429,5;8313,1;255.57M;2,15%;;
1442;06.03.2013;8358,9;8436,2;8485;8356,3;188.36M;-0,76%;;
1441;07.03.2013;8389,1;8393,4;8454,7;8379,9;176.28M;0,36%;;
1440;08.03.2013;8628,1;8444,1;8638,3;8439,8;328.12M;2,85%;;
1439;11.03.2013;8554,4;8605;8610,2;8495,6;174.80M;-0,85%;;
1438;12.03.2013;8532,3;8529;8598,1;8506,7;186.35M;-0,26%;;
1437;13.03.2013;8498,3;8502,7;8516,7;8434,9;210.77M;-0,40%;;
1436;14.03.2013;8657,9;8532,8;8670,4;8529,6;278.30M;1,88%;;
1435;15.03.2013;8619,1;8645,2;8649,9;8544,5;417.42M;-0,45%;;
1434;18.03.2013;8507,8;8383,2;8527,6;8351,8;265.68M;-1,29%;;
1433;19.03.2013;8321;8499,9;8532,4;8250,5;356.45M;-2,20%;;
1432;20.03.2013;8416,3;8394,3;8494,4;8327;244.36M;1,15%;;
1431;21.03.2013;8351,2;8412,6;8447,8;8260,8;284.51M;-0,77%;;
1430;22.03.2013;8329,5;8321,8;8395,1;8258,9;238.21M;-0,26%;;
1429;25.03.2013;8140,6;8434,6;8461,9;8100,3;363.68M;-2,27%;;
1428;26.03.2013;7990,5;8175,1;8183,7;7968,2;358.73M;-1,84%;;
1427;27.03.2013;7900,4;8038;8040,2;7822,5;478.77M;-1,13%;;
1426;28.03.2013;7920;7892,9;7972;7797,2;274.67M;0,25%;;
1425;02.04.2013;8050,4;7917,6;8059;7888,1;282.00M;1,65%;;
1424;03.04.2013;7904,3;8015,3;8037,6;7880,2;247.91M;-1,81%;;
1423;04.04.2013;7847,9;7966,4;8040,5;7821,7;319.34M;-0,71%;;
1422;05.04.2013;7798,4;7880,4;7935;7716,1;274.02M;-0,63%;;
1421;08.04.2013;7787,1;7809,8;7878,6;7774,4;196.78M;-0,14%;;
1420;09.04.2013;7872,5;7846,6;7897,3;7811,6;234.16M;1,10%;;
1419;10.04.2013;8136,4;7917,6;8179;7910,2;425.65M;3,35%;;
1418;11.04.2013;8159,5;8127,9;8178,9;8063,1;214.75M;0,28%;;
1417;12.04.2013;8040,4;8084,9;8103,4;8011;231.79M;-1,46%;;
1416;15.04.2013;8014,1;8051,7;8093,7;7941,4;233.26M;-0,33%;;
1415;16.04.2013;7948,7;7976,8;8033,7;7934,5;208.22M;-0,82%;;
1414;17.04.2013;7803;7984,7;7992,4;7743,6;308.07M;-1,83%;;
1413;18.04.2013;7812,5;7843,5;7923,9;7764,2;245.64M;0,12%;;
1412;19.04.2013;7915,5;7888;7955,8;7851,1;290.49M;1,32%;;
1411;22.04.2013;8027,7;7983,8;8058,3;7927,6;184.18M;1,42%;;
1410;23.04.2013;8289,3;8046,4;8310,2;8031,5;372.07M;3,26%;;
1409;24.04.2013;8389,3;8300,2;8412,4;8287,5;329.23M;1,21%;;
1408;25.04.2013;8365,1;8360;8388,8;8270,2;251.46M;-0,29%;;
1407;26.04.2013;8297;8323,4;8329,7;8251,5;251.95M;-0,81%;;
1406;29.04.2013;8450,9;8324,7;8463,9;8324,7;305.49M;1,85%;;
1405;30.04.2013;8419;8488,8;8524,2;8397,8;263.76M;-0,38%;;
1404;02.05.2013;8406,4;8393,9;8563,5;8286,6;297.68M;-0,15%;;
1403;03.05.2013;8544,8;8445,7;8566,1;8410,3;250.00M;1,65%;;
1402;06.05.2013;8503,8;8551,2;8553,8;8472,6;111.25M;-0,48%;;
1401;07.05.2013;8544;8541,9;8589,4;8500,1;245.78M;0,47%;;
1400;08.05.2013;8597;8544;8614,5;8500;263.52M;0,62%;;
1399;09.05.2013;8572,7;8597,8;8608;8536,4;240.24M;-0,28%;;
1398;10.05.2013;8544,5;8583;8669,2;8511,7;278.40M;-0,33%;;
1397;13.05.2013;8457,8;8554,2;8574,6;8405;227.58M;-1,01%;;
1396;14.05.2013;8474,6;8481,2;8489,8;8366,7;259.97M;0,20%;;
1395;15.05.2013;8582,5;8464,7;8595,6;8438,6;260.69M;1,27%;;
1394;16.05.2013;8542,3;8569,9;8589,7;8521,9;175.16M;-0,47%;;
1393;17.05.2013;8582,4;8528,1;8590;8518,4;333.37M;0,47%;;
1392;20.05.2013;8515,2;8585,4;8613,8;8445,4;192.35M;-0,78%;;
1391;21.05.2013;8464,5;8500,2;8538;8398,2;216.78M;-0,60%;;
1390;22.05.2013;8462,4;8469,5;8505,5;8381,2;246.35M;-0,02%;;
1389;23.05.2013;8343,6;8267,7;8356,6;8243,5;282.41M;-1,40%;;
1388;24.05.2013;8264,6;8388,8;8394,6;8216,5;189.94M;-0,95%;;
1387;27.05.2013;8363,6;8301,4;8363,6;8297,8;101.41M;1,20%;;
1386;28.05.2013;8511,3;8408,5;8583,6;8398,2;298.98M;1,77%;;
1385;29.05.2013;8441,7;8466,2;8495,8;8424,2;271.57M;-0,82%;;
1384;30.05.2013;8433,5;8404,4;8487,1;8395,2;237.14M;-0,10%;;
1383;31.05.2013;8320,6;8441,4;8441,4;8304,6;306.74M;-1,34%;;
1382;03.06.2013;8284,4;8266,6;8368,6;8191,9;231.56M;-0,44%;;
1381;04.06.2013;8363;8341,4;8418,4;8337,5;204.15M;0,95%;;
1380;05.06.2013;8290,7;8308,4;8430;8283,3;261.98M;-0,86%;;
1379;06.06.2013;8216,7;8308,6;8418,3;8216,7;278.27M;-0,89%;;
1378;07.06.2013;8266,6;8229,2;8308,7;8165,1;297.87M;0,61%;;
1377;10.06.2013;8227,4;8270,8;8321,7;8184,6;276.42M;-0,47%;;
1376;11.06.2013;8089,3;8179,6;8182,5;7980,1;392.86M;-1,68%;;
1375;12.06.2013;8123,8;8068;8245,3;8054,5;276.16M;0,43%;;
1374;13.06.2013;8071,7;8039,5;8098,1;7958,6;291.66M;-0,64%;;
1373;14.06.2013;8070,9;8101,8;8140,6;8053;243.71M;-0,01%;;
1372;17.06.2013;8136,3;8132,7;8194,1;8072,4;221.82M;0,81%;;
1371;18.06.2013;8180,2;8134,4;8211;8099,3;207.78M;0,54%;;
1370;19.06.2013;8098,3;8178,7;8182,1;8079,1;186.34M;-1,00%;;
1369;20.06.2013;7822,1;7973,5;8014;7786,9;320.73M;-3,41%;;
1368;21.06.2013;7700,2;7859,7;7877;7700,1;448.85M;-1,56%;;
1367;24.06.2013;7553,2;7682,1;7734,8;7508,4;273.35M;-1,91%;;
1366;25.06.2013;7607,7;7646;7674,6;7581,3;251.34M;0,72%;;
1365;26.06.2013;7823;7636,6;7848;7588,7;283.59M;2,83%;;
1364;27.06.2013;7844,4;7826,7;7879,6;7709,9;247.00M;0,27%;;
1363;28.06.2013;7762,7;7872,5;7936,9;7724,4;235.24M;-1,04%;;
1362;01.07.2013;7907,1;7817;7946,1;7745,5;217.10M;1,86%;;
1361;02.07.2013;7886,6;7934,5;7934,5;7855,6;247.29M;-0,26%;;
1360;03.07.2013;7763,8;7763,3;7770,6;7612,8;276.48M;-1,56%;;
1359;04.07.2013;8002;7802,4;8035,7;7780,8;242.19M;3,07%;;
1358;05.07.2013;7868,4;7994,6;8030,6;7847;221.46M;-1,67%;;
1357;08.07.2013;8017,6;7922;8068,1;7895,2;231.50M;1,90%;;
1356;09.07.2013;8014,8;8058,1;8111,5;7965,8;188.74M;-0,03%;;
1355;10.07.2013;7995;7975,6;8014,5;7896;165.10M;-0,25%;;
1354;11.07.2013;8030,7;8083,2;8086,6;7980,5;175.15M;0,45%;;
1353;12.07.2013;7844,7;8034,9;8036,5;7800,8;221.68M;-2,32%;;
1352;15.07.2013;7855,1;7832,4;7918,9;7782,6;156.70M;0,13%;;
1351;16.07.2013;7798,2;7868;7891,6;7736,6;189.29M;-0,72%;;
1350;17.07.2013;7812,7;7814;7858,1;7702,7;176.35M;0,19%;;
1349;18.07.2013;7957,3;7789,6;7964,7;7781,5;192.54M;1,85%;;
1348;19.07.2013;7943,2;7938,6;7978,9;7887,5;156.18M;-0,18%;;
1347;22.07.2013;7966;7954,9;8016,9;7917,1;140.79M;0,29%;;
1346;23.07.2013;8073,7;8014,9;8138;8011,9;205.39M;1,35%;;
1345;24.07.2013;8192,5;8120,2;8199,1;8095,2;253.08M;1,47%;;
1344;25.07.2013;8282,1;8198,5;8287,3;8152,3;229.58M;1,09%;;
1343;26.07.2013;8353,6;8307,8;8395,9;8303,2;230.06M;0,86%;;
1342;29.07.2013;8376,1;8374,6;8411,8;8349,1;168.77M;0,27%;;
1341;30.07.2013;8456,5;8402,5;8467,4;8363,3;185.39M;0,96%;;
1340;31.07.2013;8433,4;8440,7;8480,1;8375,9;191.52M;-0,27%;;
1339;01.08.2013;8540,2;8466,3;8543,4;8431,7;194.88M;1,27%;;
1338;02.08.2013;8574;8564,8;8578,3;8489,5;158.46M;0,40%;;
1337;05.08.2013;8560,8;8585,1;8617,3;8549,6;128.49M;-0,15%;;
1336;06.08.2013;8529,5;8567,2;8613,1;8469,9;151.41M;-0,37%;;
1335;07.08.2013;8574,1;8508,1;8577,7;8448;158.51M;0,52%;;
1334;08.08.2013;8671,8;8587,5;8675,5;8581,1;195.76M;1,14%;;
1333;09.08.2013;8735,5;8685,3;8765,7;8628,2;204.53M;0,73%;;
1332;12.08.2013;8717,7;8733,5;8770,2;8692,8;156.53M;-0,20%;;
1331;13.08.2013;8758,5;8737,6;8778,8;8695,5;136.74M;0,47%;;
1330;14.08.2013;8789,3;8763,4;8789,3;8706,8;143.33M;0,35%;;
1329;15.08.2013;8737,6;8777,1;8796,7;8633,9;138.97M;-0,59%;;
1328;16.08.2013;8821,3;8739,3;8828,1;8710,4;206.85M;0,96%;;
1327;19.08.2013;8657,1;8807,8;8818,8;8641,1;170.39M;-1,86%;;
1326;20.08.2013;8502,4;8613,2;8613,2;8422,6;214.21M;-1,79%;;
1325;21.08.2013;8461,8;8526,3;8558;8427;120.91M;-0,48%;;
1324;22.08.2013;8629,7;8485,2;8671,1;8476,2;171.81M;1,98%;;
1323;23.08.2013;8686,8;8655,4;8712,4;8575;128.81M;0,66%;;
1322;26.08.2013;8649,9;8669,6;8717;8590,4;81.29M;-0,42%;;
1321;27.08.2013;8394;8596,5;8643,3;8378,5;208.05M;-2,96%;;
1320;28.08.2013;8398,1;8367,6;8421,9;8275,9;192.42M;0,05%;;
1319;29.08.2013;8432,1;8433,7;8458,1;8354;142.64M;0,40%;;
1318;30.08.2013;8290,5;8406,2;8424,3;8290,5;172.00M;-1,68%;;
1317;02.09.2013;8429,6;8370,2;8476,2;8369,8;155.57M;1,68%;;
1316;03.09.2013;8445,2;8438,5;8513,6;8331,1;142.58M;0,19%;;
1315;04.09.2013;8490,3;8473,3;8517,9;8358,6;159.26M;0,53%;;
1314;05.09.2013;8550;8512,8;8564,1;8473;213.56M;0,70%;;
1313;06.09.2013;8655;8534,3;8678,8;8524;219.66M;1,23%;;
1312;09.09.2013;8632,5;8628,9;8645,2;8568,7;152.84M;-0,26%;;
1311;10.09.2013;8801,6;8698,1;8813,9;8678,3;273.34M;1,96%;;
1310;11.09.2013;8875,2;8789,5;8882,6;8761,4;255.35M;0,84%;;
1309;12.09.2013;8924,2;8878,2;8951,4;8861,6;261.21M;0,55%;;
1308;13.09.2013;8941,6;8901,1;8951,6;8863,7;188.25M;0,19%;;
1307;16.09.2013;8999,5;9017,5;9056,3;8960,3;197.76M;0,65%;;
1306;17.09.2013;8992;8992,5;9005,5;8911,7;177.12M;-0,08%;;
1305;18.09.2013;9062,5;9019,4;9072,4;8995,5;236.02M;0,78%;;
1304;19.09.2013;9153,7;9193,1;9198,7;9096,1;297.74M;1,01%;;
1303;20.09.2013;9171,8;9121,9;9171,8;9118,4;288.15M;0,20%;;
1302;23.09.2013;9109,5;9163,8;9187,8;9057,5;186.87M;-0,68%;;
1301;24.09.2013;9167,6;9109,7;9171,7;9076,4;182.43M;0,64%;;
1300;25.09.2013;9242,9;9154,7;9249,5;9120,1;205.47M;0,82%;;
1299;26.09.2013;9272,4;9253,6;9285,9;9176,4;238.81M;0,32%;;
1298;27.09.2013;9228,4;9283,1;9299,1;9191,6;237.70M;-0,47%;;
1297;30.09.2013;9186,1;9073,2;9199,7;9036,9;204.35M;-0,46%;;
1296;01.10.2013;9341,5;9177,6;9346,9;9173,4;216.83M;1,69%;;
1295;02.10.2013;9350;9315,7;9378,2;9272,9;196.88M;0,09%;;
1294;03.10.2013;9295,7;9367,6;9383,4;9260,4;162.51M;-0,58%;;
1293;04.10.2013;9420,9;9289;9432,7;9267,6;220.14M;1,35%;;
1292;07.10.2013;9381,9;9380,4;9389,2;9321,6;165.53M;-0,41%;;
1291;08.10.2013;9318,9;9388,2;9410,8;9311,3;226.70M;-0,67%;;
1290;09.10.2013;9439;9302,4;9470,8;9295,6;215.02M;1,29%;;
1289;10.10.2013;9660,5;9499,5;9695,1;9485,7;313.98M;2,35%;;
1288;11.10.2013;9668,5;9707,3;9707,3;9624,4;204.91M;0,08%;;
1287;14.10.2013;9696;9631,7;9701;9615,3;161.74M;0,28%;;
1286;15.10.2013;9805,3;9733,6;9805,3;9699,2;250.63M;1,13%;;
1285;16.10.2013;9879;9733,1;9890,7;9724;269.12M;0,75%;;
1284;17.10.2013;9918;9854,9;9918,4;9817,1;231.68M;0,39%;;
1283;18.10.2013;10001,8;9946,6;10002,6;9915,5;234.13M;0,84%;;
1282;21.10.2013;10037,8;10019,6;10063,9;9966;226.98M;0,36%;;
1281;22.10.2013;10012,9;10022,3;10054,9;9992,9;207.25M;-0,25%;;
1280;23.10.2013;9828,3;9960,3;9965,1;9792,3;300.67M;-1,84%;;
1279;24.10.2013;9915,4;9808;9915,4;9808;224.52M;0,89%;;
1278;25.10.2013;9815,5;9856;9887,5;9772,3;240.61M;-1,01%;;
1277;28.10.2013;9736,2;9840;9864;9675;232.99M;-0,81%;;
1276;29.10.2013;9863,9;9699,7;9873;9665,6;256.18M;1,31%;;
1275;30.10.2013;9778,7;9862,9;9980,2;9744,1;240.98M;-0,86%;;
1274;31.10.2013;9907,9;9754,8;9909,9;9739,3;258.12M;1,32%;;
1273;01.11.2013;9838,3;9906,6;9929,1;9816,5;142.50M;-0,70%;;
1272;04.11.2013;9873,8;9873,9;9917,3;9827,3;162.71M;0,36%;;
1271;05.11.2013;9795,7;9916;9923,9;9731,9;222.79M;-0,79%;;
1270;06.11.2013;9837,1;9804,2;9887,4;9781,2;178.25M;0,42%;;
1269;07.11.2013;9740,4;9835,7;10025,9;9712,6;359.24M;-0,98%;;
1268;08.11.2013;9747,2;9684,9;9778,6;9613,6;271.39M;0,07%;;
1267;11.11.2013;9789,5;9757,2;9819,6;9670;123.21M;0,43%;;
1266;12.11.2013;9707,6;9780,1;9824,1;9684,1;181.54M;-0,84%;;
1265;13.11.2013;9675,2;9674,7;9740,8;9615,2;199.52M;-0,33%;;
1264;14.11.2013;9708,7;9769,1;9784,8;9610,4;309.21M;0,35%;;
1263;15.11.2013;9695,9;9716,9;9749,3;9650,4;185.95M;-0,13%;;
1262;18.11.2013;9783,1;9679,6;9853,6;9640,7;200.88M;0,90%;;
1261;19.11.2013;9629,8;9750,1;9751,7;9626,2;180.78M;-1,57%;;
1260;20.11.2013;9559,5;9615;9636,1;9507;228.66M;-0,73%;;
1259;21.11.2013;9599,3;9502,8;9614,5;9467;161.72M;0,42%;;
1258;22.11.2013;9677,4;9622,7;9701,8;9588;183.66M;0,81%;;
1257;25.11.2013;9689,1;9724,5;9753,9;9656,5;171.69M;0,12%;;
1256;26.11.2013;9714,6;9692,2;9743,2;9659,8;263.27M;0,26%;;
1255;27.11.2013;9808,4;9750,2;9828,1;9706,5;173.65M;0,97%;;
1254;28.11.2013;9859,8;9823,1;9892,9;9814,2;155.23M;0,52%;;
1253;29.11.2013;9837,6;9876;9923,3;9824,6;179.88M;-0,23%;;
1252;02.12.2013;9745,5;9838,2;9852,7;9715,6;170.20M;-0,94%;;
1251;03.12.2013;9605;9743,9;9743,9;9605;275.22M;-1,44%;;
1250;04.12.2013;9540,5;9616,6;9654,1;9496,6;189.02M;-0,67%;;
1249;05.12.2013;9392,1;9528,1;9583;9384,7;242.68M;-1,56%;;
1248;06.12.2013;9400,5;9406,2;9418,9;9232,1;247.01M;0,09%;;
1247;09.12.2013;9487,4;9414,4;9499;9389,9;225.52M;0,92%;;
1246;10.12.2013;9438,3;9469,9;9556,1;9418,5;151.93M;-0,52%;;
1245;11.12.2013;9358,7;9453,3;9493,1;9355,1;206.93M;-0,84%;;
1244;12.12.2013;9272,1;9340,5;9370,5;9245,3;183.49M;-0,93%;;
1243;13.12.2013;9272,7;9262,4;9361,2;9242,9;160.21M;0,01%;;
1242;16.12.2013;9429,5;9270,3;9463,8;9264,7;204.90M;1,69%;;
